X, Y, Tap, Dog Bowl
-28.073321515138794,153.36064985696848,N,N
-28.133728693071227,153.47548917478463,N,N
-27.976363977354897,153.36160835463667,N,N
-28.000077979623228,153.4311946361136,N,Y
-27.969853987009454,153.4191456534532,N,N
-27.968368564434943,153.41802576984887,N,N
-27.962477480038743,153.4145794155129,N,N
-27.964876315765498,153.41881907339115,N,N
-28.166208886871775,153.522914363497,N,N
-28.166909051479763,153.52574270705173,N,N
-28.167246046494054,153.5279709336281,N,N
-28.16665000325253,153.5371937793459,N,N
-28.167298729014576,153.5392583824417,N,N
-28.167465361462117,153.5415150282367,Y,Y
-28.166335231420828,153.53566707102652,Y,Y
-28.16685456195172,153.53630439163052,N,N
-28.06072067842737,153.4405299310308,Y,Y
-28.060897610961103,153.4409117763964,Y,N
-27.93585258706644,153.31411556480467,N,N
-28.05851405354368,153.40400945391966,Y,Y
-28.055848974167983,153.40727943040852,N,N
-28.082683684498726,153.39509957855986,N,N
-28.08248083038986,153.39549682339361,N,N
-27.928917882215245,153.31819665265164,N,N
-28.081815064942315,153.40982191336946,N,N
-27.881728486332822,153.3617152318021,Y,Y
-28.064610201048723,153.42872364780152,N,N
-27.876733389882848,153.39349529580548,Y,Y
-27.975841975397618,153.40620035320572,N,N
-27.976332353691536,153.40573139640048,Y,Y
-28.162933671975637,153.51716881194912,N,N
-28.155036305086885,153.50651595970442,Y,Y
-28.159543696200032,153.51185585045025,N,N
-28.07137602391427,153.3541024895405,N,N
-28.028124393327328,153.43473896377898,N,N
-27.955710360914278,153.3926897312609,N,N
-27.956494186822628,153.39406051391273,Y,Y
-27.93972893040736,153.40785914092652,N,N
-28.062973719656302,153.42766127940175,Y,N
-28.127815105058293,153.4653842428008,N,N
-28.029901721621503,153.43508752626298,N,N
-28.019304986380664,153.42861468167177,N,N
-28.089210399899336,153.4535461010578,N,N
-28.00852854061704,153.3961706887131,N,N
-27.919771652970482,153.31732924981023,N,N
-27.893165973712506,153.3849742021591,Y,Y
-28.13230332721246,153.42110996858423,Y,N
-28.018809811177658,153.42656944055358,Y,N
-28.02737359793118,153.4346480358644,N,N
-27.960210822242402,153.3741796671366,N,N
-27.943727561324412,153.35539795159252,Y,N
-27.97608689130247,153.27739231491992,N,N
-28.078039271698334,153.44766751253619,N,N
-28.0283348972347,153.4342420312956,Y,N
-28.02886355953334,153.43425396823233,Y,N
-28.03571176959,153.43576172727813,Y,Y
-28.08637104040003,153.45122951258463,N,N
-28.11693256141774,153.46735853798566,N,N
-28.0720934474118,153.44656424238693,N,N
-28.119015306506814,153.47256638337657,N,N
-27.923173069626046,153.30940358298815,N,N
-28.16720667421437,153.53815651748351,N,N
-27.970725804993045,153.37170286974785,N,N
-28.167715428447607,153.54163471879056,N,N
-28.07902693661848,153.43237103927964,N,N
-28.16440459224914,153.55066597481363,N,N
-27.945732787470885,153.31414213353278,Y,N
-27.99136763011146,153.4303353177197,N,N
-27.993331628253642,153.43048140089167,N,N
-27.87978961358741,153.3940292414115,N,N
-27.8894284837965,153.29621767408213,Y,N
-28.13759240078192,153.4395977687634,N,N
-28.080891966179955,153.43260997823947,N,N
-28.080339795075332,153.4328118742278,N,N
-28.07430333855345,153.4466842417625,N,N
-27.885149900795916,153.39618609171296,N,Y
-27.882316183093597,153.3965892001904,N,Y
-27.97556344030709,153.429268201068,N,N
-28.08644217779474,153.43632292062912,N,N
-28.079595589745207,153.44089067948764,N,N
-28.085651564849055,153.4406726040087,N,N
-28.119196832494865,153.3952410728104,N,N
