OBJECTID,CLASS,BUILDING_U,NO_OF_STOR,NO_OF_LIFT,NO_OF_BASE,BLD_ENERGY,EQUITABLE_,AREA_SQM,ASSET_POSI,FUNCTIONAL,GIS_DESCRI,CREATED_DA,LAST_EDITE,SHAPE_Leng,SHAPE_Area
1348,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,185.2,GPS,K-MALL01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,96.04073065,531.4708243
1349,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,172,GPS,K-PIZZEY,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,58.24865169,181.1723315
1353,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,70,,K-PHIL01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,38.73407059,79.19010359
1356,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,Y,51.9,GPS,K-PATFAG,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,30.07344638,51.78653209
1359,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,10,GPS,K-JAMESO,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/06/2014,14.51199359,13.14636632
1360,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,43,GPS,K-CENTEN,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,31.18556435,52.09683364
1361,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,40,GPS,K-CROCKE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,28.03703459,52.10428
1368,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,26,GPS,K-CHIRNP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,28.007629,45.00342868
1375,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,18,GPS,K-TUGUNP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,22.07805174,21.54225017
1385,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,32,GPS,K-TIERNE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,29.89305283,57.14335232
1391,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,180,GPS,K-BROA03,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,22/09/2014,56.92437674,181.5727555
1393,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,107,GPS,K-HARL01,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,53.05452525,158.1944972
1397,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,42,GPS,K-PALMBE,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,13/10/2014,28.93709829,52.26409222
1406,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,32,GPS,K-ARTH03,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,30.30048909,52.66363
1411,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,6.24,GPS,K-JOANPA,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,7/10/2014,9.991950609,6.23982636
1413,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,83.05,GPS,K-RUNA02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,64.02245137,182.2790306
1415,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,236,GPS,K-OWENPA,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,69.01097462,251.9361685
1433,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,108,GPS,K-EVANDA,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,22/06/2015,63.9131791,110.7332976
1435,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),N,58.42,GPS,K-RUNA02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,28/05/2014,38.19798727,71.27579985
1436,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,10,GPS,R-C-CAVILLAVENUEXXX,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,13.95111299,10.12966689
1438,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,158,GPS,K-CURR04,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,62.22777914,174.763058
1439,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,ELECTRICITY (GRID),Y,17,GPS,K-GOLD02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,23.5673977,32.31950101
1442,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,N,3.6,GPS,K-COUN02,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,7.590513745,3.59645929
1449,PUBLIC TOILET,PUBLIC AMENITIES BUILDING,1,0,0,TBA,Y,14.96,GPS,K-GRICEP,BUILDING PUBLIC AMENITIES BUILDING,23/05/2014,25/05/2014,15.57956627,14.9287691
