X, Y, NO_OF_BIKE
-27.910194756273533,153.38833071295775,2
-27.910280593629157,153.38836068261017,2
-27.91027040280375,153.38835712708607,2
-27.910262466654835,153.38835433364116,2
-27.910252826016276,153.38835094775746,2
-27.910244438979422,153.388347985029,2
-27.91021440742954,153.38833757038464,2
-27.910224146657498,153.3883412086373,2
-28.03597873149622,153.4238760866541,2
-28.03599444314154,153.4238746374143,2
-28.035968990585438,153.4238762997726,2
-28.03598288547106,153.4238755993289,2
-28.03598685813052,153.42387536258687,2
-28.03596565136992,153.4238760353923,2
-28.049469724356392,153.43623274364663,1
-28.049523738108068,153.4362483158519,1
-28.049554929080134,153.43625893022795,1
-28.049959888712102,153.43600449292038,1
-28.049948894688587,153.4360013451572,1
-28.04993834032801,153.43599903658207,1
-28.04921662010127,153.43581850543526,1
-28.03596203979368,153.42387627253203,2
-27.922706986174152,153.33391080189227,2
-27.92269625858087,153.33390465166013,2
-27.92268544466473,153.33390059581347,2
-28.049223384472192,153.43582037846556,1
-28.049236916410482,153.43582311720746,1
-28.049246374785888,153.4358265955343,1
-28.12092338947352,153.47283124079308,2
-28.120919413037065,153.47283256632704,2
-28.007128643314392,153.43162611969805,2
-28.00713938811584,153.43162532340813,2
-28.007144354825456,153.43162475633116,2
-28.00714986184128,153.43162461045787,2
-28.007154466415848,153.43162437758437,2
-28.005333586339415,153.43143059716655,1
-27.82363741223967,153.32468138536882,1
-27.890765860095822,153.30938227300015,11
-27.98187984415743,153.38459987407884,10
-27.91096215931612,153.3887911441768,10
-27.89645695148809,153.30863408816018,4
-27.875156811280245,153.39989674540305,0
-28.007811590394525,153.39606859636805,6
-28.097392759527544,153.45375047512147,10
-27.971084472704984,153.4129459585234,10
-28.03599065102212,153.4238748748639,2
-27.923012573682747,153.33402831385314,2
-28.068701635448296,153.44454963393088,4
-27.99148756552285,153.33564024869003,1
-28.036319399403222,153.43622902101643,2
-28.035202076039184,153.43599951799038,2
-28.0323485443583,153.43551857395087,2
-28.03139679118337,153.43533278898482,2
-27.923002309449664,153.33401721955545,2
-28.07055636459631,153.38785815187,0
-28.070567573246713,153.38785282165856,0
-28.02200360106396,153.36566457609106,0
-27.955130527009633,153.40961279168275,0
-27.92299259445318,153.33400671438642,2
-27.92298269049488,153.33399595658884,2
-28.099949115975253,153.41684090544328,0
-27.922971975912102,153.33398444218548,2
-28.099952966690985,153.4168510767786,0
-28.08538902753175,153.36300363367266,0
-28.085401358205317,153.3629832804195,0
-28.096852152674543,153.42011532550237,0
-28.09070761170346,153.42768242492625,0
-28.090673947155974,153.42768329922035,0
-28.096872744351078,153.42011204744998,0
-27.878836594661554,153.31430267287087,0
-27.92606900871975,153.40573304884055,0
-27.966195213780534,153.37599737768366,0
-27.96618095088859,153.37599732824637,0
-27.9228773138782,153.3528748484131,0
-27.87606473404174,153.31348311907954,0
-27.876063787891887,153.31350221513364,0
-28.056713860277803,153.39508094373213,0
-28.056724264732264,153.39510422433432,0
-28.071536041821787,153.3943896122065,0
-28.071508582415728,153.3943955541322,0
-28.030878994397785,153.395391398233,0
-28.031938091512153,153.40944950353156,0
-27.936273331828236,153.39243621569074,0
-27.936288226704622,153.39243308496887,0
-27.84420254522548,153.3018418518696,0
-27.84418369064619,153.30183602195126,0
-27.843910087864423,153.2994946122662,0
-27.843925466269624,153.2994758121972,0
-27.84377171476131,153.30132379094164,0
-27.84378908633254,153.3013431839472,0
-27.99816449189606,153.3277291662432,0
-27.998216281130865,153.32773670252428,0
-28.081450958514672,153.43221700535975,5
-27.91145913038833,153.39935210821528,20
-28.035975571270104,153.4238763255627,2
-27.970346468915942,153.412435239437,2
-27.991371389200232,153.33546471064514,1
-27.9615681514808,153.35865349019141,0
-27.961581874091408,153.35865303229178,0
-28.119855286140282,153.4229852815028,0
-28.03631161185956,153.41978186102395,0
-28.037484624318633,153.41939983422853,0
-27.924038154321057,153.31513928966754,0
-27.921709127661046,153.32324091194386,0
-27.919319367428287,153.3437080060855,0
-27.919203391826194,153.34323801309714,0
-27.922810262854586,153.35252080769075,0
-27.909951771634965,153.39437487247966,5
-28.1281169101883,153.4779727215827,10
-27.937257073838452,153.39572433844936,10
-27.937377478723427,153.39566174746426,10
-28.064488750026722,153.42897532764405,6
-28.056068544974362,153.40755774011805,6
-28.135079869110353,153.47284718960955,20
-27.9913713038379,153.33546269779686,1
-28.088752300331095,153.4532389964918,5
-28.088059306892415,153.45278721778084,5
-27.99148846189177,153.33564285186202,1
